1612929900.0,1797.00000000,1797.00000000,1781.39000000,1789.65000000,10221.58115000,1612930199999,18276178.75260230,8925,4867.81118000,8703915.18414840,0
1612930200.0,1789.64000000,1790.62000000,1766.87000000,1766.87000000,10341.16720000,1612930499999,18372845.27952250,8850,3799.09711000,6748057.28391750,0
1612930500.0,1767.10000000,1781.09000000,1766.82000000,1778.20000000,10559.59096000,1612930799999,18761371.24764350,6004,3777.19392000,6709743.01225390,0
1612930800.0,1778.33000000,1782.09000000,1775.35000000,1779.26000000,5246.50251000,1612931099999,9327036.25293080,3577,2876.87678000,5113791.31481950,0
1612931100.0,1779.42000000,1784.30000000,1779.42000000,1781.86000000,2572.46779000,1612931399999,4584218.76718500,2960,1247.60933000,2223341.92727820,0
1612931400.0,1781.85000000,1785.45000000,1781.34000000,1783.14000000,2611.19283000,1612931699999,4656642.61587110,2883,1163.70057000,2075271.93444450,0
1612931700.0,1783.14000000,1785.00000000,1780.86000000,1781.74000000,2272.93771000,1612931999999,4053168.51024820,3050,954.42522000,1702102.60834570,0
1612932000.0,1781.73000000,1786.92000000,1781.10000000,1784.42000000,2451.13070000,1612932299999,4373351.03999410,2642,1327.66240000,2368968.73612630,0
1612932300.0,1784.35000000,1787.11000000,1784.13000000,1785.47000000,2437.52173000,1612932599999,4352763.73839330,2739,1136.71832000,2029968.99226330,0
1612932600.0,1785.49000000,1788.52000000,1785.00000000,1785.73000000,2243.74298000,1612932899999,4009121.93528880,2309,1038.37211000,1855416.53239490,0
1612932900.0,1785.86000000,1788.00000000,1783.31000000,1787.97000000,2005.51077000,1612933199999,3581466.26996270,2041,1008.48628000,1801162.73563460,0
1612933200.0,1787.98000000,1788.20000000,1785.10000000,1785.81000000,3174.70601000,1612933499999,5672742.86754430,2570,1738.88509000,3107170.74265890,0
1612933500.0,1785.92000000,1790.74000000,1783.19000000,1790.33000000,2076.85373000,1612933799999,3710625.26892800,2780,1144.41743000,2045259.58389920,0
1612933800.0,1790.34000000,1790.83000000,1787.09000000,1788.70000000,1547.91428000,1612934099999,2769960.65756790,2215,712.65643000,1275316.90929640,0
1612934100.0,1788.71000000,1790.49000000,1785.87000000,1789.39000000,2718.45722000,1612934399999,4862085.93633090,2554,1350.46830000,2415591.01850820,0
1612934400.0,1789.39000000,1795.00000000,1787.03000000,1794.71000000,2499.28839000,1612934699999,4475482.78531920,2649,1667.38564000,2986003.99611070,0
